RQ,Categoria,Contagem
RQ5,Sinais (áudio/vibração/ultrassom – waveform),9
RQ5,Multimodal (fusão de modalidades),5
RQ5,Texto (logs/texto livre),2
RQ5,Tabular (dados estruturados/atributos/features,1
RQ5,Forecasting (Demanda / Soft Sensing),1
RQ6,Não mencionado,45
RQ6,Cloud,7
RQ6,Edge,7
RQ6,Híbrido (Edge,4
RQ6,Cloud),4
RQ6,Federated/Distribuído,2
RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",25
RQ7,RNN (LSTM/GRU),20
RQ7,Transformer/Attention,18
RQ7,Autoencoder/VAE,14
RQ7,MLP/ANN (feedforward),13
RQ7,"Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)",7
RQ7,Não mencionado,4
RQ7,GNN (Graph NN),3
RQ7,Não mencionado.,2
RQ7,Reinforcement Learning (DRL/RL),2
RQ7,"Neuro-simbólico / Regras (LTN, etc.)",1
RQ8,SHAP,36
RQ8,LIME,15
RQ8,Saliency/Grad-CAM/IG/Occlusion (visão),8
RQ8,Atenção/Attention (pesos/heatmaps),5
RQ8,Não mencionado,5
RQ8,Interpretabilidade Intrínseca (white-box/simbólica),3
RQ8,LRP,2
RQ8,Causal/Granger/DAG/PC (inferência causal),2
RQ8,Contrafactual,2
RQ8,Concept-based (TCAV/ECLAD/SPACE),2
RQ8,Knowledge Graph/Ontologia/Regras,2
RQ8,Importância por Permutação,1
RQ8,XAI framework (AMLExplainer/Tool),1
RQ9,Ambos,34
RQ9,Locais,17
RQ9,Globais,9
RQ9,Não mencionado,5
