Título,RQ,Categoria
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ2,Controle de Qualidade (Defeitos)
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ2,Otimização / Controle de Processo
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ3,Alerta/Detecção
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ3,Diagnóstico/Causa-raiz
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ3,Prescrição/Recomendação
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ3,Planejamento/Otimização
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ4,Privados/proprietários
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ5,Tabular (dados estruturados/atributos/features)
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ6,Cloud
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ7,RNN (LSTM/GRU)
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ8,SHAP
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ9,Locais
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ10,Classificação
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ10,Regressão
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ10,Detecção de anomalias/FDD
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ11,Dados
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ11,Generalização/Transferência
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ11,Modelagem
A Zero-Defect Manufacturing Decision-Support System for the Decorative Surfaced Panels Industry,RQ11,Infraestrutura & Integração
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ1,Água/Saneamento
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ2,Diagnóstico / Causa-raiz (FDD)
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ2,Detecção de Anomalias/Falhas
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ3,Alerta/Detecção
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ3,Diagnóstico/Causa-raiz
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ4,"Público, Pump subset do MIMII acoustic dataset."
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ5,Sinais (áudio/vibração/ultrassom – waveform)
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ6,Não mencionado
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ7,MLP/ANN (feedforward)
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ7,RNN (LSTM/GRU)
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ7,Transformer/Attention
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ8,SHAP
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ9,Globais
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ10,Classificação
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ11,Dados
Acoustic Fault Diagnosis of Industrial Pumps Using Interpretable Deep Learning and SHAP Analysis,RQ11,Modelagem
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ1,Manufatura (geral)
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ2,Manutenção Prescritiva / Preditiva
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ2,Detecção de Anomalias/Falhas
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ2,Diagnóstico / Causa-raiz (FDD)
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ3,Alerta/Detecção
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ3,Inspeção visual/Localização
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ4,Privados/proprietários
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ5,Séries temporais (sensores/telemetria)
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ6,Cloud
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ7,Autoencoder/VAE
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ8,SHAP
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ9,Locais
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ10,Classificação
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ10,Latência/Tempo/Computação
Adaptable and Explainable Predictive Maintenance: Semi-Supervised Deep Learning for Anomaly Detection and Diagnosis in Press Machine Data,RQ11,Generalização/Transferência
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ1,Semicondutores
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ2,Controle de Qualidade (Defeitos)
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ2,Detecção de Anomalias/Falhas
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ3,Diagnóstico/Causa-raiz
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ3,Prescrição/Recomendação
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ3,Planejamento/Otimização
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ4,Públicos (Benchmark UCI SECOM dataset). Link: https://archive.ics.uci.edu/dataset/179/secom.
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ5,Tabular (dados estruturados/atributos/features)
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ6,Não mencionado
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ7,"Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)"
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ8,LIME
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ9,Locais
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ10,Classificação
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ11,Interpretabilidade/XAI
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ11,Dados
Advancing Manufacturing with Interpretable Machine Learning: LIME-Driven Insights from the SECOM Dataset,RQ11,Generalização/Transferência
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ1,Manufatura (geral)
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ2,Manutenção Prescritiva / Preditiva
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ2,Detecção de Anomalias/Falhas
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ2,RUL/Prognóstico
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ3,Alerta/Detecção
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ3,Diagnóstico/Causa-raiz
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ3,Prognóstico (RUL/Health)
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ3,Prescrição/Recomendação
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ3,Planejamento/Otimização
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ3,HITL/Confiança/Uncertainty
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ4,Privados/proprietários
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ5,Séries temporais (sensores/telemetria)
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ6,Federated/Distribuído
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ7,RNN (LSTM/GRU)
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ7,"Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)"
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ8,Não mencionado
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ9,Não mencionado
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ10,Classificação
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ10,Regressão
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ10,Latência/Tempo/Computação
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ10,Avaliação humana
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ10,Métricas operacionais
Agentic AI in Smart Manufacturing: Enabling Human-Centric Predictive Maintenance Ecosystems,RQ11,Generalização/Transferência
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ1,Manufatura (geral)
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ2,Manutenção Prescritiva / Preditiva
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ2,Detecção de Anomalias/Falhas
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ2,RUL/Prognóstico
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ3,Alerta/Detecção
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ3,Prognóstico (RUL/Health)
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ3,Planejamento/Otimização
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ3,Diagnóstico/Causa-raiz
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ3,HITL/Confiança/Uncertainty
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ4,Público
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ4,Privados/proprietários
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ5,Séries temporais (sensores/telemetria)
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ6,Híbrido (Edge
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ6,Cloud)
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ7,RNN (LSTM/GRU)
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ8,SHAP
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ8,LIME
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ9,Ambos
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ10,Classificação
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ10,Regressão
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ10,Latência/Tempo/Computação
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ11,Dados
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ11,Infraestrutura & Integração
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ11,Implantação & Tempo real
AI and Data Science for Predictive Maintenance in Industry 4.0,RQ11,Interpretabilidade/XAI
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ1,Manufatura (geral)
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ2,Manutenção Prescritiva / Preditiva
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ2,Detecção de Anomalias/Falhas
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ3,Alerta/Detecção
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ4,Privados/proprietários
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ5,Séries temporais (sensores/telemetria)
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ5,Tabular (dados estruturados/atributos/features)
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ5,Texto (logs/texto livre)
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ6,Cloud
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ7,RNN (LSTM/GRU)
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ8,Não mencionado
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ9,Não mencionado
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ10,Classificação
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ11,Dados
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,RQ11,Infraestrutura & Integração
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ1,Papel/Celulose
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ2,Controle de Qualidade (Defeitos)
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ2,Detecção de Anomalias/Falhas
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ3,Alerta/Detecção
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ3,Inspeção visual/Localização
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ3,Diagnóstico/Causa-raiz
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ3,Prescrição/Recomendação
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ3,Planejamento/Otimização
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ4,Privados/proprietários
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ5,Imagens (visão computacional)
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ5,Séries temporais (sensores/telemetria)
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ6,Edge
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ8,Saliency/Grad-CAM/IG/Occlusion (visão)
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ9,Locais
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ10,Classificação
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ10,Latência/Tempo/Computação
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ11,Dados
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,RQ11,Modelagem
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ1,Manufatura (usinagem)
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ2,Detecção de Anomalias/Falhas
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ2,Manutenção Prescritiva / Preditiva
