Título,RQ1,RQ2,RQ3,RQ4,RQ5,RQ6,RQ7,RQ8,RQ9,RQ10,RQ11
AI and Data Science for Predictive Maintenance in Industry 4.0,Setor de Manufatura.,"Manutenção preditiva, com foco em detecção de falhas/malfunction detection e estimação de RUL.","A técnica auxilia ao prever falhas antes da ocorrência, estimar a vida útil remanescente, emitir alertas quase em tempo real e apoiar o planejamento de manutenção. Com XAI, ela também explica quais variáveis influenciam a predição, aumentando transparência e confiança para especialistas.",Foram utilizados tanto datasets públicos (benchmarks) quanto dados reais de sensores industriais (privados).,"Dados de séries temporais de sensores (registrando parâmetros operacionais como temperatura, vibração, pressão e ciclos de uso).","Edge Computing, com possibilidade de sincronização com servidor central/cloud para armazenamento, re-treinamento e análise; portanto, a arquitetura descrita é edge com suporte a cloud.",LSTM e CNN.,SHAP e LIME,Ambos.,"Precisão, Recall (Sensibilidade), F1-Score, Acurácia da predição de RUL e Latência (em milissegundos).","Qualidade dos dados, desbalanceamento entre falha e operação normal, heterogeneidade de dados entre sensores/máquinas, baixa interpretabilidade de modelos black-box, integração com infraestrutura industrial legada, baixa validação em tempo real em estudos anteriores, overhead computacional, maior latência ao usar XAI, dependência de grande volume de dados rotulados e necessidade de otimização dos modelos para edge devices."
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,Indústria de Embalagens.,Manutenção Preditiva (PdM) focada na predição antecipada de falhas e paradas não planejadas.,"Emite alertas preditivos diretamente aos operadores, identificando a probabilidade de ocorrência de uma falha dentro de uma janela de tempo de 5 minutos.",Dados privados e proprietários.,"Séries temporais e dados tabulares heterogêneos, compreendendo sinais de sensores da máquina (velocidade, diâmetro, status), códigos de erro e registros manuais não estruturados inseridos pelos operadores.","A coleta de dados foi realizada via roteador OPC-UA e rede VPN, e o treinamento do modelo foi executado em Cloud Computing (plataforma COLAB).",LSTM.,Não mencionado.,Não mencionado.,"Acurácia global (atingindo 91%), Matriz de Confusão e Curva ROC (Receiver Operating Characteristic).","Heterogeneidade dos dados, rótulos ausentes/escassos, ruído temporal, ausência inicial de infraestrutura de coleta, dados desorganizados, relatórios de falha não estruturados, descrições inconsistentes de manutenção, disponibilidade limitada de dados históricos, desbalanceamento de classes e necessidade de ampliar sinais sensoriais e integrar o sistema a monitoramento em tempo real."
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,Setor de Manufatura de Papel Industrial.,"Controle de qualidade / detecção de defeitos em tempo real, com foco em identificar e classificar defeitos de superfície, rasgos, dobras, furos e anomalias de processo durante a produção. ","A técnica auxilia ao detectar defeitos em tempo real, acionar alertas automáticos para intervenção do operador, fornecer feedback imediato para ações corretivas, e analisar severidade, frequência e causas raiz dos defeitos, apoiando a otimização de parâmetros de produção e decisões de qualidade orientadas por dados.",Dados privados e proprietários.,Imagens industriais (visão computacional) e dados de sensores de processo.,"Edge Computing. Os modelos são implantados em industrial edge AI devices, com inferência local de baixa latência, integração em tempo real com SCADA e MES, e uso de NVIDIA Jetson Xavier NX. Os modelos também foram otimizados com NVIDIA TensorRT para reduzir tempo de inferência.",YOLOv7 e SSD (Single Shot MultiBox Detector).,Grad-CAM.,Locais.,"Mean Average Precision (mAP), Acurácia, F1-Score, Sensibilidade (Recall), Taxa de Falsos Positivos (FP Rate) e Latência / Tempo de Inferência (ms/frame).","A principal limitação atual é a dificuldade na detecção de defeitos transitórios ou visualmente ambíguos em condições de alta velocidade (ex: micro-rasgos nas bordas, perda de vácuo, dobras sobrepostas), que derrubam a precisão do modelo em alguns segmentos."
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,Setor de Manufatura/Usinagem.,"Monitoramento de condição de usinagem, com foco em reconhecimento de estado e detecção de falhas.","A técnica auxilia por classificação/reconhecimento automático das condições de usinagem para monitoramento inteligente; o módulo de atenção atribui maiores pesos às features críticas, ajudando o modelo a focar nos atributos mais relevantes. Não há menção a recomendação explícita de ação corretiva.",Dados privados e proprietários.,Séries temporais de sensores.,"Arquitetura híbrida edge-cloud em ambiente IIoT. O edge computer faz pré-processamento; o cloud realiza o treinamento offline; depois, o modelo é implantado no edge para teste online.","Autoencoders, especificamente Sparse Autoencoders (SAE).",Mapas de Atenção.,Globais.,"Acurácia Média de Teste, Perda Média de Teste (Loss), Tempo Médio de Treinamento e Tempo Médio de Teste (Latência de inferência).","Principais limitações reportadas: uso de apenas um sensor no estudo de caso (necessidade de generalizar para multissensores), uso de apenas uma cabeça de atenção (pode reduzir a robustez), e possibilidade de variação de desempenho com diferentes funções de ativação."
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,"Setores de Tratamento e Circulação de Água, Manufatura de Açúcar e Aeroespacial (Sondas Espaciais).","Detecção de anomalias não supervisionada em séries temporais multivariadas, com foco em detectar pontos anômalos e classificar anomalias em sequências IIoT.","A técnica auxilia ao detectar anomalias em dados de sensores IIoT e ao explicar a contribuição de cada feature via SHAP, gerando ranking de importância, seleção das top N features e tornando as saídas do modelo compreensíveis e acionáveis.","Públicos/benchmarks. O artigo usa SKAB, SWaT, DAMADICS e MSL. Link: https://www.kaggle.com/dsv/1693952 e https://www.google.com/search?q=http://diag.mchtr.pw.edu.pl/damadics/.",Séries temporais multivariadas coletadas de sensores da IIoT.,"Não mencionado de forma explícita como Edge, Cloud ou híbrido.","Arquitetura híbrida composta por 1D CNN (dois blocos convolucionais), CBAM, VAE, TCN melhorado com atenção temporal e KAN (Kolmogorov–Arnold Network). O framework proposto é o CCTAK.",SHAP com KernelExplainer,Ambos.,Fc1 (composite F1-score) e AU-ROC para avaliar a detecção de anomalias. O treinamento/teste também usa MSELoss como perda de reconstrução.,"Principais dificuldades reportadas: escassez de dados rotulados, baixa interpretabilidade em métodos existentes, necessidade de lidar com dados de alta dimensionalidade, alta frequência, complexos e ruidosos, sensibilidade a hiperparâmetros, possibilidade de premissas inadequadas em métodos não supervisionados, e desafios para generalização em outros domínios, como extração de features específica do domínio, ajuste adicional de parâmetros e manutenção da consistência da explicabilidade em contextos distintos."
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,Setor de Manufatura.,Manutenção Preditiva com foco na detecção de falhas e identificação de anomalias.,"O framework monitora o erro de reconstrução (MSE) diário; quando a mediana do MSE ultrapassa um limiar e continua em tendência crescente, ele aciona automaticamente um alarme de falha. Em seguida, usa Kernel SHAP para apontar as features mais influentes na inferência, apoiando especialistas na análise de causa raiz e na priorização de ação corretiva.",Utiliza uma combinação de datasets públicos de benchmark (CWRU e dataset IMS da NASA Ames) e dados privados/proprietários (dataset IND fornecido pela Promethean Energy Pvt. Ltd.). O link mencionado para o repositório do IMS é: www.nasa.gov/content/prognostics-center-of-excellence-data-set-repository.,"Séries temporais de vibração e temperatura, convertidas em features tabulares de domínio do tempo.",O artigo posiciona a solução como edge-compatible. As features do sensor inteligente são computadas na borda e transmitidas via LoRaWAN; o modelo foi projetado para ser leve e adequado a implementação em edge/CPUs desktop para diagnóstico online.,Autoenconder.,SHAP com KernelExplainer.,Ambos.,Erro Quadrático Médio (MSE - Mean Squared Error) para calcular a perda e as anomalias de reconstrução da rede não supervisionada.,Complexidade e caráter black-box dos modelos; custo computacional da extração de features; acesso limitado a dados rotulados; variações de operação e ambiente; dificuldade de escalar métodos de laboratório para instalações reais; imprevisibilidade do tipo e momento das falhas; possibilidade de falhas resultarem de combinação de eventos; confidencialidade industrial (sem detalhes da natureza da falha/remediação); necessidade de funcionar bem com dados limitados e não rotulados. 
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,Indústria de Plásticos.,"Qualidade preditiva / controle de qualidade, com foco em prever e manter a consistência do peso das peças produzidas, tratando desvios de qualidade e casos críticos/anômalos.","A técnica auxilia ao identificar parâmetros críticos, explicar global e localmente quais variáveis influenciam o peso previsto, destacar parâmetros ajustáveis pelos operadores (como Melt Temperature e Set Pressure) e incorporar tendências temporais para permitir ajustes corretivos e intervenções preventivas antes que flutuações comprometam a estabilidade do processo.",Dados privados e proprietários.,"Dados tabulares contendo features de configuração e de processo (como tempo, temperatura, pressão, velocidade e força), a partir dos quais foram extraídos recursos de séries temporais como média, desvio padrão, quantis, assimetria (skewness) e tendências lineares.","Não mencionado de forma explícita como Edge, Cloud ou híbrido.",Não mencionado. ,SHAP,Ambos.,Mean Squared Error (MSE) e R-Squared (R^2),"O estudo foi realizado em apenas uma única planta de injeção, o que limita a generalização; o alvo analisado foi principalmente o peso da peça, enquanto outras dimensões de qualidade não foram exploradas; os autores indicam que outras técnicas de XAI ainda podem ser investigadas para ampliar a explicabilidade e lidar com riscos de modelos excessivamente confiantes; também apontam a necessidade de estudos com usuários para verificar como operadores utilizam a abordagem na prática."
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,Setor Químico.,"Modelagem preditiva de processo dinâmico / soft sensing da vazão de descarga inferior (bottom flowrate) do deetanizador, com potencial para apoiar otimização em tempo real (RTO) e detecção/diagnóstico de falhas (FDD).","A técnica auxilia ao prever com alta acurácia a vazão de fundo e ao explicar as interações entre variáveis de processo no domínio do tempo por meio dos parâmetros do modelo (kernel convolucional e módulo de light attention), permitindo melhor entendimento do comportamento dinâmico real do processo para análise e tomada de decisão operacional.",Dados privados e proprietários.,"Séries temporais multivariadas. O dataset contém a variável alvo (fluxo de fundo) e 21 variáveis de entrada de sensores de processo (incluindo taxas de fluxo, temperaturas de alimentação e das bandejas, pressões e níveis dos tanques) coletadas com intervalos de 1 minuto.","Não mencionado de forma explícita como Edge, Cloud ou híbrido.","LACG, FNN, CNN, CNN-2D, LSTM e attention-LSTM. ",Mapas de Atenção.,Ambos.,"Para desempenho preditivo: MAE (Mean Absolute Error), MRE (Mean Relative Error) e R2 (Coefficient of Determination). Para métricas de latência: Custos computacionais de otimização/treinamento (medidos em segundos) e custo de predição (medido em milissegundos por amostra).",Os autores relatam que o principal desafio do modelo construído foi a interferência persistente do ruído dos dados industriais reais (DCS) sobre os comportamentos dinâmicos apreendidos pela rede.
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,Setor Siderúrgico,"Manutenção Preditiva, com foco específico em Detecção de Anomalias e no monitoramento do processo de degradação de ativos.","A técnica classifica observações como normais ou anômalas com base no erro de reconstrução e, com SHAP, indica quais medições levaram à anomalia, permitindo que especialistas validem a decisão do modelo, apoiem a identificação da causa da falha e melhorem decisões de planejamento, por exemplo estender campanhas de laminação quando possível.","Misto de dados privados/proprietários e públicos. Os dados siderúrgicos são reais e privados, originários da ArcelorMittal Poland. Os dados do motor Turbofan são de um benchmark público simulado pela NASA (dataset C-MAPSS). Link para o dataset público: https://ti.arc.nasa.gov/c/6/.","Dados tabulares construídos a partir de séries temporais de sensores, englobando parâmetros operacionais contínuos como temperatura, pressão, velocidade de laminação, fluxo de combustível, tensões e velocidade do ventilador.","Não mencionado de forma explícita como Edge, Cloud ou híbrido.",Autoencoders padrão (AE) e Variational Autoencoders (VAE).,SHAP com Tree Explainer.,Ambos.,"Acurácia, Precisão, Recall e F1-score.","Principais limitações reportadas: falta de dados rotulados de boa qualidade; escassez de dados run-to-failure em cenários reais; no hot rolling, a ausência de run-to-failure dificulta definir anomalias e separar bem normal vs. anômalo; alta variabilidade do processo real em comparação ao dataset simulado; necessidade de mais fine-tuning, pré-processamento e possível aquisição de novas variáveis; o desempenho no caso real não é production-ready; e o modelo final é binário, sem distinguir tipos de falha. "
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,Indústria Alimentícia.,Controle de Qualidade e Detecção de Adulteração (identificação da presença de adulterantes naturais de baixo custo no produto puro),"Emite alerta com justificativa visual. O sistema gera mapas de calor (saliency maps) destacando em nível de pixel as regiões exatas da amostra que influenciaram a predição do modelo, conferindo transparência à decisão para os fluxos de trabalho de controle de qualidade.",Dados privados e proprietários.,Imagens digitais (dados de visão computacional estruturados em recortes espaciais de 224×224×3 pixels RGB).,O treinamento do modelo ocorreu em Nuvem / Workstation (utilizando o serviço de GPU do Kaggle com hardware Nvidia A6000 e processadores Intel Xeon).,"Redes Neurais Convolucionais 2D (2D-CNN) pré-treinadas . Foram avaliadas as arquiteturas DenseNet (121 e 169), EfficientNet (B0 e B2), ResNet (50 e 101) e VGG (16 e 19).",Grad-CAM e LIME.,Locais.,"Para a classificação da rede neural: Acurácia, Precisão, Recall (Sensibilidade), F1-Score e Categorical Cross-Entropy Loss.","A confiabilidade do modelo é altamente vulnerável a condições de iluminação inconsistentes e problemas de rotulagem durante a captura das imagens. Há o risco contínuo de overfitting atrelado a datasets limitados. Como soluções e trabalhos futuros, o artigo reporta a necessidade de criar grandes coleções de imagens multicêntricas (diversas origens geográficas) e desenvolver dispositivos IoT portáteis baseados em IA (Edge) para triagem rápida e local no próprio ambiente da fábrica ou cadeia de suprimentos."
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,Setor de Manufatura.,"Detecção, classificação e localização automática de defeitos para controle de qualidade em manufatura.","Auxilia ao automatizar a inspeção visual, classificar tipos de defeito e localizar regiões defeituosas por meio de bounding boxes, reduzindo dependência de inspeção manual e apoiando monitoramento/controle de qualidade em tempo real. ","Dados públicos (benchmarks). O modelo foi avaliado em conjuntos de dados mistos amplamente conhecidos, como NEU-DET (aço), GC10 e conjuntos de imagens de raio-X de soldas. Não há link para os datasets mencionado no texto.",Imagens digitais de visão computacional (incluindo imagens de superfícies de materiais e radiografias de soldas).,"Não mencionado de forma explícita como Edge, Cloud ou híbrido.","Redes Neurais Convolucionais (CNN), utilizando uma arquitetura base VGG16 aprimorada com técnicas de Batch Normalization e Dropout Regularization.",Não mencionado.,Não mencionado.,"Acurácia, Perda (Loss evolution), Precisão, Recall (Sensibilidade), mAP (Mean Average Precision), F1-Score e Curva ROC (Receiver Operating Characteristic).","Escassez de dados/anotações, desbalanceamento de classes, falsos positivos, necessidade de grandes datasets rotulados, custo computacional, dependência de GPU/TPU, dificuldade de implantação em tempo real, limitações de infraestrutura (especialmente SMEs) e falta de interpretabilidade/transparência do modelo."
