Título,RQ1,RQ2,RQ3,RQ4,RQ5,RQ6,RQ7,RQ8,RQ9,RQ10,RQ11
AI and Data Science for Predictive Maintenance in Industry 4.0,Manufatura (geral),Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas + RUL/Prognóstico,Alerta/Detecção + Prognóstico (RUL/Health) + Planejamento/Otimização + Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,Público + Privados/proprietários,Séries temporais (sensores/telemetria),Híbrido (Edge+Cloud),"RNN (LSTM/GRU) + CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",SHAP + LIME,Ambos,Classificação + Regressão + Latência/Tempo/Computação,Dados + Infraestrutura & Integração + Implantação & Tempo real + Interpretabilidade/XAI
AI-Based Predictive Maintenance for a Slitter Rewinder: a Case Study,Manufatura (geral),Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas,Alerta/Detecção,Privados/proprietários,Séries temporais (sensores/telemetria) + Tabular (dados estruturados/atributos/features) + Texto (logs/texto livre),Cloud,RNN (LSTM/GRU),Não mencionado,Não mencionado,Classificação,Dados + Infraestrutura & Integração
AI-Driven Real-Time Defect Detection for Paper Production: A Scalable Smart Manufacturing Approach,Papel/Celulose,Controle de Qualidade (Defeitos) + Detecção de Anomalias/Falhas,Alerta/Detecção + Inspeção visual/Localização + Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,Privados/proprietários,Imagens (visão computacional) + Séries temporais (sensores/telemetria),Edge,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",Saliency/Grad-CAM/IG/Occlusion (visão),Locais,Classificação + Latência/Tempo/Computação,Dados + Modelagem
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,Manufatura (usinagem),Detecção de Anomalias/Falhas + Manutenção Prescritiva / Preditiva,Diagnóstico/Causa-raiz,Privados/proprietários,Séries temporais (sensores/telemetria),Híbrido (Edge+Cloud),Autoencoder/VAE,Atenção/Attention (pesos/heatmaps),Globais,Classificação + Latência/Tempo/Computação,Modelagem + Generalização/Transferência
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,Multi-setor,Detecção de Anomalias/Falhas,Alerta/Detecção + Diagnóstico/Causa-raiz,"Público, O artigo usa SKAB, SWaT, DAMADICS e MSL. Link: https://www.kaggle.com/dsv/1693952 e https://www.google.com/search?q=http://diag.mchtr.pw.edu.pl/damadics/.",Séries temporais (sensores/telemetria),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + Autoencoder/VAE + Transformer/Attention + MLP/ANN (feedforward)",SHAP,Ambos,Classificação + Regressão,Dados + Modelagem + Generalização/Transferência + Interpretabilidade/XAI
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,Manufatura (geral),Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas,Alerta/Detecção + Diagnóstico/Causa-raiz + Prescrição/Recomendação,"Público + Privados/proprietários, link: www.nasa.gov/content/prognostics-center-of-excellence-data-set-repository.",Séries temporais (sensores/telemetria),Edge,Autoencoder/VAE,SHAP,Ambos,Regressão + Detecção de anomalias/FDD,Modelagem + Implantação & Tempo real + Dados + Generalização/Transferência + Privacidade/Confidencialidade/Regulação
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,Plásticos,Controle de Qualidade (Defeitos) + Detecção de Anomalias/Falhas,Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,Privados/proprietários,Tabular (dados estruturados/atributos/features),Não mencionado,Não mencionado. ,SHAP,Ambos,Regressão,Generalização/Transferência + Interpretabilidade/XAI + Adoção humana/HITL + Modelagem
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,Químico/Processos,Forecasting (Demanda / Soft Sensing) + Otimização / Controle de Processo + Diagnóstico / Causa-raiz (FDD),Planejamento/Otimização + Diagnóstico/Causa-raiz,Privados/proprietários,Séries temporais (sensores/telemetria),Não mencionado,"MLP/ANN (feedforward) + CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + RNN (LSTM/GRU) + Transformer/Attention",Atenção/Attention (pesos/heatmaps),Ambos,Regressão + Latência/Tempo/Computação,Dados
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,Siderúrgico/Metalurgia,Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas,Alerta/Detecção + Diagnóstico/Causa-raiz + Planejamento/Otimização + HITL/Confiança/Uncertainty,"Público + Privados/proprietários, link: https://ti.arc.nasa.gov/c/6/.",Tabular (dados estruturados/atributos/features),Não mencionado,Autoencoder/VAE,SHAP,Ambos,Classificação,Dados + Generalização/Transferência + Modelagem
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,Alimentos/Bebidas,Controle de Qualidade (Defeitos),Alerta/Detecção + Inspeção visual/Localização,Privados/proprietários,Imagens (visão computacional),Cloud,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",Saliency/Grad-CAM/IG/Occlusion (visão) + LIME,Locais,Classificação,Dados + Modelagem + Generalização/Transferência + Implantação & Tempo real
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,Manufatura (geral),Controle de Qualidade (Defeitos),Inspeção visual/Localização + Alerta/Detecção,"Público,  NEU-DET (aço), GC10 e conjuntos de imagens de raio-X de soldas.",Imagens (visão computacional),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",Não mencionado,Não mencionado,Classificação,Dados + Implantação & Tempo real + Interpretabilidade/XAI
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,Manufatura (geral),Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas,Prescrição/Recomendação + Diagnóstico/Causa-raiz,Privados/proprietários,Séries temporais (sensores/telemetria),Não mencionado,RNN (LSTM/GRU) + Autoencoder/VAE,SHAP,Locais,Classificação,Dados + Modelagem + Generalização/Transferência
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,Logística/E-commerce,Robótica / Planejamento,Planejamento/Otimização + HITL/Confiança/Uncertainty,Simulados/gerados,Multimodal (fusão de modalidades),Híbrido (Edge+Cloud),"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + Reinforcement Learning (DRL/RL) + GNN (Graph NN)",Saliency/Grad-CAM/IG/Occlusion (visão) + Contrafactual,Ambos,Robótica/Logística + Avaliação humana,Generalização/Transferência + Benchmarks/Padronização + Robótica/Logística + Cibersegurança
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,Manufatura (geral),Controle de Qualidade (Defeitos) + Manutenção Prescritiva / Preditiva,Inspeção visual/Localização + Alerta/Detecção + HITL/Confiança/Uncertainty,"Público, link: https://www.kaggle.com/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product.",Imagens (visão computacional),Cloud,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + Transformer/Attention",Saliency/Grad-CAM/IG/Occlusion (visão),Locais,Classificação + Latência/Tempo/Computação,Implantação & Tempo real + Modelagem
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,Multi-setor,Manutenção Prescritiva / Preditiva + RUL/Prognóstico + Detecção de Anomalias/Falhas,Prognóstico (RUL/Health) + Planejamento/Otimização + Diagnóstico/Causa-raiz + Prescrição/Recomendação + HITL/Confiança/Uncertainty,"Público, os conjuntos de dados utilizados são o NASA Turbofan Jet Engine (https://doi.org/10.21227/pjh5-p424), o MetroPT do Metro do Porto (https://doi.org/10.5281/zenodo.6854240) e o SCANIA Component X (https://arxiv.org/abs/2401.15199) .",Séries temporais (sensores/telemetria) + Tabular (dados estruturados/atributos/features),Não mencionado,RNN (LSTM/GRU) + Transformer/Attention,LIME,Locais,Regressão + Classificação + Métricas operacionais,Dados + Modelagem
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,Manufatura (geral),Manutenção Prescritiva / Preditiva + RUL/Prognóstico + Detecção de Anomalias/Falhas,Prescrição/Recomendação + Planejamento/Otimização,Público + Privados/proprietários,Séries temporais (sensores/telemetria) + Tabular (dados estruturados/atributos/features) + Imagens (visão computacional),Cloud,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + RNN (LSTM/GRU) + Transformer/Attention + Autoencoder/VAE",SHAP + LIME,Locais,Classificação + Regressão + Métricas operacionais,Dados + Modelagem + Generalização/Transferência
Development and Validation of an Explainable Hybrid Deep Learning Model for Multiple-Fault Diagnosis in Intelligent Automotive Electronic Systems,Automotivo,Diagnóstico / Causa-raiz (FDD) + Manutenção Prescritiva / Preditiva,Diagnóstico/Causa-raiz + Prescrição/Recomendação + HITL/Confiança/Uncertainty,"Simulados/gerados + Privados/proprietários,",Multimodal (fusão de modalidades),Híbrido (Edge+Cloud),"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + RNN (LSTM/GRU) + Transformer/Attention",LIME + SHAP + Atenção/Attention (pesos/heatmaps),Ambos,Classificação + Latência/Tempo/Computação + Avaliação XAI quantitativa + Avaliação humana,Dados + Generalização/Transferência + Implantação & Tempo real + Modelagem
DIGITAL TWIN–BASED INTELLIGENT MONITORING OF INDUSTRIAL SYSTEMS USING EXPLAINABLE AI,Indústria 4.0 (Genérico/Transversal),Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas + Diagnóstico / Causa-raiz (FDD),Alerta/Detecção + Diagnóstico/Causa-raiz + Planejamento/Otimização + HITL/Confiança/Uncertainty,Privados/proprietários,Séries temporais (sensores/telemetria),Edge,RNN (LSTM/GRU) + MLP/ANN (feedforward),SHAP + LIME,Locais,Classificação + Detecção de anomalias/FDD + Latência/Tempo/Computação,Infraestrutura & Integração + Generalização/Transferência + Interpretabilidade/XAI + Implantação & Tempo real + Privacidade/Confidencialidade/Regulação
Evaluating eXplainable artificial intelligence tools for hard disk drive predictive maintenance,Data Centers,Manutenção Prescritiva / Preditiva + RUL/Prognóstico,Diagnóstico/Causa-raiz + Prescrição/Recomendação,"Público, link: https://www.backblaze.com/b2/hard-drive-test-data.html ",Séries temporais (sensores/telemetria),Não mencionado,RNN (LSTM/GRU),SHAP + LIME,Ambos,Classificação + Avaliação XAI quantitativa,Interpretabilidade/XAI + Adoção humana/HITL + Dados + Generalização/Transferência
Explainable AI-Driven Quality and Condition Monitoring in Smart Manufacturing,Manufatura (geral),Controle de Qualidade (Defeitos) + Detecção de Anomalias/Falhas + Manutenção Prescritiva / Preditiva,Diagnóstico/Causa-raiz + Inspeção visual/Localização + HITL/Confiança/Uncertainty + Prescrição/Recomendação,"Público, o Casting Product Dataset disponível em https://www.kaggle.com/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product , o GC10-DET (Defects Class and Location) disponível em https://www.kaggle.com/datasets/zhangyunsheng/defects-class-and-location , e o MIMII Dataset disponível em https://zenodo.org/records/3384388.",Imagens (visão computacional) + Sinais (áudio/vibração/ultrassom – waveform),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",Saliency/Grad-CAM/IG/Occlusion (visão) + SHAP,Ambos,Classificação,Dados + Interpretabilidade/XAI + Adoção humana/HITL + Modelagem
Explainable and interpretable bearing fault classification and diagnosis under limited data,Manufatura (Maquinário Rotativo),Detecção de Anomalias/Falhas + RUL/Prognóstico + Manutenção Prescritiva / Preditiva,Alerta/Detecção + Prognóstico (RUL/Health) + Diagnóstico/Cause-raiz + Planejamento/Otimização,"Público, conjuntos de dados de rolamentos IMS (Intelligent Maintenance Systems) e XJTU-SY.",Sinais (áudio/vibração/ultrassom – waveform),Não mencionado,Autoencoder/VAE,Interpretabilidade Intrínseca (white-box/simbólica),Globais,Detecção de anomalias/FDD,Adoção humana/HITL + Infraestrutura & Integração + Implantação & Tempo real
Explainable anomaly detection for Hot-rolling industrial process*,Siderúrgico/Metalurgia,Detecção de Anomalias/Falhas + Manutenção Prescritiva / Preditiva,Alerta/Detecção + Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,Simulados/gerados + Privados/proprietários,Séries temporais (sensores/telemetria) + Tabular (dados estruturados/atributos/features),Não mencionado,Autoencoder/VAE + RNN (LSTM/GRU),SHAP,Ambos,Regressão + Classificação + Avaliação humana,Dados + Modelagem + Adoção humana/HITL
Explainable Deep Learning for Bearing Fault Diagnosis: Architectural Superiority of ResNet-1D Validated by SHAP,Manufatura (Maquinário Rotativo),Manutenção Prescritiva / Preditiva + Diagnóstico / Causa-raiz (FDD) + Detecção de Anomalias/Falhas,Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,"Público, link: https://doi.org/10.5281/zenodo.16842422.",Tabular (dados estruturados/atributos/features),Edge,"MLP/ANN (feedforward) + CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",SHAP,Ambos,Classificação,Generalização/Transferência + Dados + Implantação & Tempo real
Explainable Deep Reinforcement Learning Enhancing Industrial Maintenance,Manufatura (geral),Manutenção Prescritiva / Preditiva,Prescrição/Recomendação + HITL/Confiança/Uncertainty,Simulados/gerados,Tabular (dados estruturados/atributos/features),Não mencionado,Reinforcement Learning (DRL/RL) + MLP/ANN (feedforward),SHAP,Ambos,Reinforcement Learning (DRL/RL),Interpretabilidade/XAI + Adoção humana/HITL + Generalização/Transferência
Fault Detection and Diagnosis using AutoEncoders and Interpretable AI - Case Study on an Industrial Chiller,Farmacêutico,Diagnóstico / Causa-raiz (FDD) + Detecção de Anomalias/Falhas,Alerta/Detecção + Diagnóstico/Causa-raiz + Inspeção visual/Localização,Simulados/gerados + Privados/proprietários,Séries temporais (sensores/telemetria),Não mencionado,Autoencoder/VAE,SHAP,Locais,Detecção de anomalias/FDD,Dados + Adoção humana/HITL + Interpretabilidade/XAI
Fault Detection of Cyber-Physical Systems Using a Transfer Learning Method Based on Pre-Trained Transformers,Água/Saneamento,Segurança Ciberfísica (CPS) + Detecção de Anomalias/Falhas,Alerta/Detecção + Diagnóstico/Causa-raiz + Planejamento/Otimização,"Público, conjuntos de dados SWaT.A1 e SWaT.A6, link: https://github.com/pooyasa/pre-trained-trasformer-fd ",Séries temporais (sensores/telemetria),Não mencionado,Transformer/Attention,SHAP,Ambos,Classificação,Dados + Generalização/Transferência + Modelagem
Federated learning with prototype learning for RUL prediction of engine turbine blade,Aeroespacial,RUL/Prognóstico,Prognóstico (RUL/Health) + Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,Privados/proprietários,Séries temporais (sensores/telemetria) + Tabular (dados estruturados/atributos/features),Não mencionado,Transformer/Attention,SHAP,Ambos,Regressão + Latência/Tempo/Computação + Classificação,Privacidade/Confidencialidade/Regulação + Modelagem
GenAD-SM: optimized transformer-VAE model for precision anomaly detection for smart manufacturing in industry 5.0,Manufatura (geral),Detecção de Anomalias/Falhas + Manutenção Prescritiva / Preditiva,Alerta/Detecção + Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,Privados/proprietários,Séries temporais (sensores/telemetria) + Tabular (dados estruturados/atributos/features),Cloud,Autoencoder/VAE + Transformer/Attention,SHAP,Locais,Detecção de anomalias/FDD + Classificação + Regressão,Dados + Modelagem + Implantação & Tempo real + Adoção humana/HITL
Hybrid Condition Monitoring for IIoT Applications,Manufatura (Maquinário Rotativo),Detecção de Anomalias/Falhas + Manutenção Prescritiva / Preditiva,Diagnóstico/Causa-raiz + Planejamento/Otimização,"Público, Dataset IDMT-ISA-ELECTRIC-ENGINE para monitoramento acústico de motores elétricos, link: https://github.com/marckonick/Hybrid%20CM%20for%20IIoT%20Applications .",Sinais (áudio/vibração/ultrassom – waveform),Edge,MLP/ANN (feedforward),SHAP,Ambos,Classificação + Latência/Tempo/Computação,Implantação & Tempo real + Infraestrutura & Integração
Intelligent Bearing System Health Monitoring for Smart Manufacturing Conveyors,Manufatura (geral),Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas,Inspeção visual/Localização + Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,"Público, Dados reais de testbed (Festo conveyor system) e dataset público “NASA Bearing Dataset” (IMS), link: https://www.kaggle.com/datasets/vinayak123tyagi/bearing-dataset . ",Séries temporais (sensores/telemetria) + Sinais (áudio/vibração/ultrassom – waveform),Edge,Autoencoder/VAE + RNN (LSTM/GRU),SHAP + LIME + Saliency/Grad-CAM/IG/Occlusion (visão),Ambos,Detecção de anomalias/FDD + Classificação + Latência/Tempo/Computação,Implantação & Tempo real + Infraestrutura & Integração + Interpretabilidade/XAI
Intelligent diagnosis of hot-rolled strip steel convexity faults based on hierarchical attention cycle graph networks and causal inference,Siderúrgico/Metalurgia,Diagnóstico / Causa-raiz (FDD) + Controle de Qualidade (Defeitos),Diagnóstico/Causa-raiz + Prescrição/Recomendação,Privados/proprietários,Séries temporais (sensores/telemetria) + Tabular (dados estruturados/atributos/features,Não mencionado,GNN (Graph NN) + RNN (LSTM/GRU) + Transformer/Attention,Causal/Granger/DAG/PC (inferência causal),Globais,Classificação + Detecção de anomalias/FDD + Latência/Tempo/Computação,Modelagem + Dados + Interpretabilidade/XAI
INTERPRETABLE TRANSFORMER-BASED VIBRATION ANALYSIS FOR ANOMALY DETECTION IN INDUSTRIAL SYSTEMS,Manufatura (Maquinário Rotativo),Detecção de Anomalias/Falhas + Manutenção Prescritiva / Preditiva,Diagnóstico/Causa-raiz + Prescrição/Recomendação + HITL/Confiança/Uncertainty,"Público,  (“publicly available industrial vibration datasets”)",Sinais (áudio/vibração/ultrassom – waveform),Não mencionado,Transformer/Attention,SHAP,Ambos,Classificação + Avaliação XAI quantitativa + Latência/Tempo/Computação,Implantação & Tempo real + Generalização/Transferência + Interpretabilidade/XAI
KAN-Based Tool Wear Modeling with Adaptive Complexity and Symbolic Interpretability in CNC Turning Processes,Manufatura (usinagem),RUL/Prognóstico + Otimização / Controle de Processo + Manutenção Prescritiva / Preditiva,Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,"Público, link: https://www.kaggle.com/datasets/drganeshkumars/flank-wear-of-cnc-lathe-tool-insert-dataset e https://github.com/567ZYC/Data-Processing-and-Explanation-for-Flank-Wear-of-CNC-Lathe-Tool-Insert-Dataset- .",Tabular (dados estruturados/atributos/features),Não mencionado,MLP/ANN (feedforward),Interpretabilidade Intrínseca (white-box/simbólica),Globais,Regressão + Latência/Tempo/Computação,Modelagem + Generalização/Transferência + Interpretabilidade/XAI
LogicLSTM: Logically-driven long short-term memory model for fault diagnosis in gearboxes,Multi-setor,Diagnóstico / Causa-raiz (FDD) + Manutenção Prescritiva / Preditiva,Prescrição/Recomendação + Diagnóstico/Causa-raiz,"Público, dataset interno DDS (Drivetrain Dynamics Simulator), o dataset SpectraSimulator da base OEDI e o dataset de engrenagens da University of Connecticut - UoC, link: https://data.openei.org/submissions/623  e https://figshare.com/articles/dataset/Gear_Fault_Data/6127874 ",Séries temporais (sensores/telemetria),Não mencionado,"RNN (LSTM/GRU) + Neuro-simbólico / Regras (LTN, etc.) + Transformer/Attention + CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",Importância por Permutação + Contrafactual,Ambos,Classificação + Avaliação XAI quantitativa + Latência/Tempo/Computação,Interpretabilidade/XAI + Infraestrutura & Integração + Modelagem
MSEvoNet: Multiscale Spatiotemporal Evolution Networks for Remaining Useful Life Prediction in Complex Industrial Systems,Aeroespacial,Manutenção Prescritiva / Preditiva + RUL/Prognóstico,Prognóstico (RUL/Health) + Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,"Público, C-MAPSS e N-CMAPSS para RUL de motores aeronáuticos.",Séries temporais (sensores/telemetria),Não mencionado,"GNN (Graph NN) + CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + Transformer/Attention",Atenção/Attention (pesos/heatmaps) + Interpretabilidade Intrínseca (white-box/simbólica),Ambos,Regressão,Dados + Modelagem + Implantação & Tempo real
Perception modelling by invariant representation of deep learning for automated structural diagnostic in aircraft maintenance: A study case using DeepSHM,Aeroespacial,Detecção de Anomalias/Falhas + Diagnóstico / Causa-raiz (FDD) + Manutenção Prescritiva / Preditiva,Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,Simulados/gerados,Sinais (áudio/vibração/ultrassom – waveform) + Imagens (visão computacional),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",Não mencionado,Globais,Classificação + Latência/Tempo/Computação,Interpretabilidade/XAI + Benchmarks/Padronização + Generalização/Transferência
Physics-based feature enhancement method and physics constraint Transformer model for multi-step tool wear and RUL prediction,Manufatura (usinagem),RUL/Prognóstico + Manutenção Prescritiva / Preditiva,Prognóstico (RUL/Health) + Planejamento/Otimização + Prescrição/Recomendação,"Público + Privado/proprietário, PHM2010 e dataset “self-constructed” pelos autores",Sinais (áudio/vibração/ultrassom – waveform),Não mencionado,"Transformer/Attention + CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",SHAP,Ambos,Regressão + Latência/Tempo/Computação + Avaliação humana,Modelagem + Interpretabilidade/XAI + Generalização/Transferência
Privacy-Preserving Interpretability: An Explainable Federated Learning Model for Predictive Maintenance in Sustainable Manufacturing and Industry 4.0,Indústria 4.0 (Genérico/Transversal),Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas,Alerta/Detecção + Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,"Público, link: https://www.kaggle.com/code/atom1991/predictive-maintenance-for-industrial-devices/input.",Tabular (dados estruturados/atributos/features),Federated/Distribuído,"Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)",SHAP + LIME,Ambos,Classificação,Privacidade/Confidencialidade/Regulação + Interpretabilidade/XAI + Generalização/Transferência + Implantação & Tempo real
